testname,baseURL,concurrentUsers,requests,delay,telemetryInApp,orderOfMagnitude,count,min,max,mean,std,total_heap_size_before,total_heap_size_executable_before,total_physical_size_before,total_available_size_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,peak_malloced_memory_before,does_zap_garbage_before,number_of_native_contexts_before,number_of_detached_contexts_before,total_global_handles_size_before,used_global_handles_size_before,external_memory_before,total_heap_size_after,total_heap_size_executable_after,total_physical_size_after,total_available_size_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after,peak_malloced_memory_after,does_zap_garbage_after,number_of_native_contexts_after,number_of_detached_contexts_after,total_global_handles_size_after,used_global_handles_size_after,external_memory_after,timestamp
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,1,48,5038.869,9816.694,7206.487,1588.658,62.844,1.047,62.44,201.03,57.369,259,0.094,3.974,0,0,0,undefined,undefined,undefined,94.141,2.094,93.68,166.773,91.481,259,0.094,5.116,0,0,0,undefined,undefined,undefined,2024-08-27T23:49:20.982Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,1,50,5083.238,11689.738,7374.294,1720.049,62.063,1.047,61.508,201.959,56.493,259,0.094,4.232,0,0,0,undefined,undefined,undefined,78.734,2.094,78.31,190.012,69.549,259,0.094,4.232,0,0,0,undefined,undefined,undefined,2024-08-28T00:02:21.800Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,1,49,5004.85,9884.931,7135.217,1599.009,63.094,1.047,62.71,201.057,57.405,259,0.094,4.002,0,0,0,undefined,undefined,undefined,84.836,2.344,84.005,179.947,79.381,259,0.094,4.403,0,0,0,undefined,undefined,undefined,2024-08-28T00:15:21.026Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,192,60,48090.026,49532.505,48552.717,524.414,61.813,1.047,61.255,201.976,56.458,259,0.094,4.711,0,0,0,undefined,undefined,undefined,82.234,1.844,81.812,192.419,66.022,259,0.094,4.711,0,0,0,undefined,undefined,undefined,2024-08-28T00:17:00.002Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,192,60,47535.127,47818.61,47690.51,72.315,62.098,1.047,61.728,201.662,56.809,259,0.094,3.706,0,0,0,undefined,undefined,undefined,84.688,2.094,84.43,177.052,81.262,259,0.094,3.706,0,0,0,undefined,undefined,undefined,2024-08-28T00:17:58.052Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,192,60,47504.912,48943.953,47986.343,559.093,62.313,1.047,62.037,201.257,57.167,259,0.094,3.524,0,0,0,undefined,undefined,undefined,79.234,2.094,78.964,190.519,67.876,259,0.094,3.524,0,0,0,undefined,undefined,undefined,2024-08-28T00:18:59.206Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,312,60,51471.127,52934.986,51964.489,555.063,62.344,1.047,62.051,201.417,57.053,259,0.094,3.978,0,0,0,undefined,undefined,undefined,78.254,2.094,77.983,184.831,73.461,259,0.094,3.978,0,0,0,undefined,undefined,undefined,2024-08-28T00:20:03.353Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,312,60,58769.783,107674.932,87559.333,23695.41,63.094,1.047,62.534,201.13,57.329,259,0.094,4.319,0,0,0,undefined,undefined,undefined,68.23,2.094,67.505,193.099,65.266,259,0.094,4.319,0,0,0,undefined,undefined,undefined,2024-08-28T00:21:58.216Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,312,60,47721.633,49179.679,48204.62,562.938,63.094,1.047,62.511,201.09,57.327,259,0.094,3.732,0,0,0,undefined,undefined,undefined,78.734,2.094,78.524,190.82,67.525,259,0.094,3.732,0,0,0,undefined,undefined,undefined,2024-08-28T00:22:59.534Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,1,49,5057.007,11790.032,7298.994,1837.903,61.594,1.047,61.401,201.383,57.111,259,0.094,4.138,0,0,0,undefined,undefined,undefined,82.656,2.094,82.352,178.175,80.22,259,0.094,4.138,0,0,0,undefined,undefined,undefined,2024-08-28T00:35:20.706Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,1,50,5095.636,10868.238,7289.582,1638.558,62.094,1.047,61.881,201.175,57.291,259,0.094,4.347,0,0,0,undefined,undefined,undefined,60.48,2.094,58.808,204.595,54.856,259,0.094,4.347,0,0,0,undefined,undefined,undefined,2024-08-28T00:48:21.928Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,1,52,5069.42,11953.62,7339.147,1786.179,62.344,1.047,61.9,201.848,56.556,259,0.094,3.524,0,0,0,undefined,undefined,undefined,69.73,2.094,69.461,199.09,59.424,259,0.094,3.855,0,0,0,undefined,undefined,undefined,2024-08-28T01:01:20.546Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,192,60,48061.692,49503.383,48505.988,536.175,62.594,1.047,62.185,200.854,57.434,259,0.094,4.224,0,0,0,undefined,undefined,undefined,82.484,2.094,81.513,192.399,65.962,259,0.094,4.224,0,0,0,undefined,undefined,undefined,2024-08-28T01:03:00.259Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,192,60,47813.723,49253.647,48303.001,555.37,62.344,1.047,61.937,200.81,57.468,259,0.094,3.778,0,0,0,undefined,undefined,undefined,78.93,2.094,78.266,185.552,72.753,259,0.094,3.778,0,0,0,undefined,undefined,undefined,2024-08-28T01:03:59.687Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,192,60,48751.414,50195.747,49232.901,555.127,61.594,1.047,61.401,201.37,57.131,259,0.094,4.083,0,0,0,undefined,undefined,undefined,78.477,2.094,78.046,185.266,73.079,259,0.094,4.083,0,0,0,undefined,undefined,undefined,2024-08-28T01:05:01.073Z
(Maybe wrong data. executing NEW TESTS)